Timestamp,Topic,Payload,QoS,Retain,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
2025-12-29T20:01:20.446023,aemet/Asturias/1249X,"{""idema"":""1249X"",""lon"":-5.873889,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":334.44,""vmax"":2.1,""vv"":1,""dv"":146,""lat"":43.353333,""dmax"":40,""ubi"":""OVIEDO"",""pres"":980.2,""hr"":80,""stdvv"":0.3,""ts"":5.4,""pres_nmar"":1020.9,""tamin"":8.5,""ta"":8.5,""tamax"":9.6,""tpr"":5.3,""vis"":3.3,""stddv"":25,""inso"":0,""tss5cm"":6.6,""pacutp"":0,""tss20cm"":7.3}",0,True,aemet,Asturias,1249X,,,
2025-12-29T20:01:20.446127,aemet/Asturias1/1207U,"{""idema"":""1207U"",""lon"":-5.621111,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":25.8,""vmax"":2.5,""vv"":1.3,""dv"":134,""lat"":43.523056,""dmax"":115,""ubi"":""GIJ�N-CAMPUS"",""pres"":1016.9,""hr"":92,""stdvv"":0.1,""ts"":9.5,""pres_nmar"":1020.5,""tamin"":9.7,""ta"":9.7,""tamax"":11.5,""tpr"":8.5,""vis"":16,""stddv"":14,""inso"":0,""tss5cm"":9.9,""pacutp"":0,""tss20cm"":10.5}",0,True,aemet,Asturias1,1207U,,,
2025-12-29T20:01:20.462857,aemet/Palencia/2374X,"{""idema"":""2374X"",""lon"":-4.617359,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":830,""vmax"":1,""vv"":0.4,""dv"":66,""lat"":42.350934,""dmax"":27,""ubi"":""CARRI�N DE LOS CONDES"",""pres"":924.5,""hr"":97,""stdvv"":0.1,""ts"":0.3,""tamin"":1.9,""ta"":1.9,""tamax"":4.1,""tpr"":1.5,""vis"":20,""stddv"":13,""inso"":0,""tss5cm"":6.2,""pacutp"":0,""geo925"":825.6}",0,True,aemet,Palencia,2374X,,,
2025-12-29T20:01:20.463168,aemet/Las Palmas/C659M,"{""idema"":""C659M"",""lon"":-15.421389,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":15,""vmax"":2.9,""vv"":1.1,""dv"":212,""lat"":28.113056,""dmax"":244,""ubi"":""LAS PALMAS DE GC. PLAZA  DE LA FERIA"",""pres"":1016.9,""hr"":68,""pres_nmar"":1018.7,""tamin"":19,""ta"":19.1,""tamax"":19.3,""tpr"":13.1,""rviento"":44}",0,True,aemet,Las Palmas,C659M,,,
2025-12-29T20:01:20.463397,aemet/Pontevedra/1484C,"{""idema"":""1484C"",""lon"":-8.615833,""fint"":""2025-12-29T17:00:00+0000"",""prec"":0,""alt"":113.3,""vmax"":2.5,""vv"":0.7,""dv"":191,""lat"":42.438333,""dmax"":200,""ubi"":""PONTEVEDRA"",""pres"":1005.6,""hr"":76,""stdvv"":0.2,""ts"":6.6,""pres_nmar"":1020,""tamin"":11.2,""ta"":11.2,""tamax"":12.4,""tpr"":7.1,""vis"":20,""stddv"":42,""inso"":0,""tss5cm"":8.2,""pacutp"":0,""tss20cm"":8.8}",0,True,aemet,Pontevedra,1484C,,,
2025-12-29T20:01:20.463592,aemet/Salamanca/2867,"{""idema"":""2867"",""lon"":-5.498292,""fint"":""2025-12-29T17:00:00+0000"",""prec"":0,""alt"":790,""vmax"":3.6,""vv"":1.9,""dv"":50,""lat"":40.959572,""dmax"":360,""ubi"":""SALAMANCA/MATACAN"",""pres"":927.2,""hr"":78,""stdvv"":0.2,""ts"":4.1,""tamin"":7,""ta"":7.2,""tamax"":9.5,""tpr"":3.6,""stddv"":8,""inso"":53,""geo925"":813.6}",0,True,aemet,Salamanca,2867,,,
2025-12-29T20:01:20.463819,aemet/Santa Cruz de Tenerife/C449C,"{""idema"":""C449C"",""lon"":-16.255282,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":35.61,""vmax"":3.4,""vv"":1.6,""dv"":196,""lat"":28.463337,""dmax"":193,""ubi"":""SANTA CRUZ DE TENERIFE "",""pres"":1013.9,""hr"":70,""stdvv"":0.5,""ts"":19.8,""pres_nmar"":1019.5,""tamin"":19.4,""ta"":19.4,""tamax"":20.1,""tpr"":13.8,""vis"":20,""stddv"":30,""inso"":0,""tss5cm"":20.7,""pacutp"":0,""tss20cm"":19.8}",0,True,aemet,Santa Cruz de Tenerife,C449C,,,
2025-12-29T20:01:20.464020,aemet/Cantabria/1111X,"{""idema"":""1111X"",""lon"":-3.800431,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":50.96,""vmax"":3.1,""vv"":2.4,""dv"":190,""lat"":43.491054,""dmax"":208,""ubi"":""SANTANDER CMT"",""pres"":1013.5,""hr"":86,""stdvv"":0.2,""ts"":9.6,""pres_nmar"":1020.5,""tamin"":11.5,""ta"":11.5,""tamax"":11.9,""tpr"":9.2,""vis"":0.7,""stddv"":4,""inso"":0,""tss5cm"":10.2,""vmaxu"":3,""dvu"":191,""pacutp"":0,""vvu"":2.4,""stdvvu"":0.4,""stddvu"":6,""dmaxu"":206,""tss20cm"":10.4}",0,True,aemet,Cantabria,1111X,,,
2025-12-29T20:01:20.464222,aemet/Segovia/2465,"{""idema"":""2465"",""lon"":-4.126389,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":1008.25,""vmax"":1.6,""vv"":0.7,""dv"":84,""lat"":40.945278,""dmax"":345,""ubi"":""SEGOVIA"",""pres"":903.9,""hr"":71,""stdvv"":0.2,""ts"":2.7,""tamin"":6.2,""ta"":6.2,""tamax"":7.3,""tpr"":1.3,""vis"":18.9,""stddv"":15,""inso"":0,""tss5cm"":5.9,""pacutp"":0,""tss20cm"":6,""geo850"":1510.7}",0,True,aemet,Segovia,2465,,,
2025-12-29T20:01:20.464354,aemet/Sevilla/5783,"{""idema"":""5783"",""lon"":-5.879167,""fint"":""2025-12-29T18:00:00+0000"",""prec"":0,""alt"":34,""vmax"":3.6,""vv"":2.3,""dv"":220,""lat"":37.416667,""dmax"":220,""ubi"":""SEVILLA/SAN PABLO"",""pres"":1016.3,""hr"":77,""stdvv"":0.2,""ts"":12.3,""pres_nmar"":1020,""tamin"":13.4,""ta"":13.5,""tamax"":15,""tpr"":9.6,""stddv"":1,""inso"":1}",0,True,aemet,Sevilla,5783,,,
